latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.065025,15.512195,355.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%)
2006-04-29T00:00,10.6,94
2006-04-29T01:00,9.5,98
2006-04-29T02:00,9.3,98
2006-04-29T03:00,9.1,98
2006-04-29T04:00,9.3,97
2006-04-29T05:00,9.8,95
2006-04-29T06:00,9.9,92
2006-04-29T07:00,10.6,93
2006-04-29T08:00,10.7,92
2006-04-29T09:00,11.4,81
2006-04-29T10:00,11.8,79
2006-04-29T11:00,12.1,82
2006-04-29T12:00,11.5,82
2006-04-29T13:00,11.6,80
2006-04-29T14:00,11.5,79
2006-04-29T15:00,11.3,80
2006-04-29T16:00,11.1,81
2006-04-29T17:00,10.8,82
2006-04-29T18:00,10.1,88
2006-04-29T19:00,9.1,87
2006-04-29T20:00,8.6,87
2006-04-29T21:00,8.0,86
2006-04-29T22:00,7.5,84
2006-04-29T23:00,6.9,83
2006-04-30T00:00,6.3,81
2006-04-30T01:00,5.6,82
2006-04-30T02:00,4.8,91
2006-04-30T03:00,4.4,91
2006-04-30T04:00,4.2,92
2006-04-30T05:00,4.3,91
2006-04-30T06:00,4.5,91
2006-04-30T07:00,5.1,83
2006-04-30T08:00,5.5,80
2006-04-30T09:00,6.3,73
2006-04-30T10:00,6.6,73
2006-04-30T11:00,6.7,75
2006-04-30T12:00,6.7,79
2006-04-30T13:00,6.7,79
2006-04-30T14:00,6.7,85
2006-04-30T15:00,6.5,83
2006-04-30T16:00,6.2,91
2006-04-30T17:00,6.5,90
2006-04-30T18:00,5.9,92
2006-04-30T19:00,5.9,88
2006-04-30T20:00,5.8,88
2006-04-30T21:00,5.5,89
2006-04-30T22:00,5.4,89
2006-04-30T23:00,5.4,89
2006-05-01T00:00,5.0,91
2006-05-01T01:00,4.5,95
2006-05-01T02:00,4.8,95
2006-05-01T03:00,4.6,95
2006-05-01T04:00,4.2,95
2006-05-01T05:00,5.2,94
2006-05-01T06:00,6.4,90
2006-05-01T07:00,8.4,82
2006-05-01T08:00,9.9,74
2006-05-01T09:00,11.4,65
2006-05-01T10:00,12.9,56
2006-05-01T11:00,13.7,54
2006-05-01T12:00,13.8,54
2006-05-01T13:00,13.7,55
2006-05-01T14:00,13.7,56
2006-05-01T15:00,13.5,58
2006-05-01T16:00,12.9,61
2006-05-01T17:00,12.2,66
2006-05-01T18:00,11.1,71
2006-05-01T19:00,9.8,77
2006-05-01T20:00,8.5,84
2006-05-01T21:00,8.7,82
2006-05-01T22:00,9.0,80
2006-05-01T23:00,8.7,82
2006-05-02T00:00,8.2,84
2006-05-02T01:00,6.8,88
2006-05-02T02:00,5.2,92
2006-05-02T03:00,4.5,94
2006-05-02T04:00,4.1,96
2006-05-02T05:00,4.6,97
2006-05-02T06:00,8.4,87
2006-05-02T07:00,10.8,80
2006-05-02T08:00,12.6,73
2006-05-02T09:00,13.9,65
2006-05-02T10:00,15.2,62
2006-05-02T11:00,16.1,60
2006-05-02T12:00,16.1,61
2006-05-02T13:00,15.9,62
2006-05-02T14:00,15.8,63
2006-05-02T15:00,14.9,65
2006-05-02T16:00,14.9,66
2006-05-02T17:00,14.4,70
2006-05-02T18:00,13.3,77
2006-05-02T19:00,11.6,84
2006-05-02T20:00,11.0,82
2006-05-02T21:00,10.9,81
2006-05-02T22:00,10.0,84
2006-05-02T23:00,8.8,88
2006-05-03T00:00,7.8,91
2006-05-03T01:00,6.4,95
2006-05-03T02:00,4.8,100
2006-05-03T03:00,4.7,100
2006-05-03T04:00,5.4,99
2006-05-03T05:00,6.7,99
2006-05-03T06:00,8.7,96
2006-05-03T07:00,12.0,82
2006-05-03T08:00,13.1,76
2006-05-03T09:00,14.0,70
2006-05-03T10:00,14.8,65
2006-05-03T11:00,15.1,63
2006-05-03T12:00,15.7,60
2006-05-03T13:00,16.2,57
2006-05-03T14:00,16.4,55
2006-05-03T15:00,16.3,55
2006-05-03T16:00,16.0,57
2006-05-03T17:00,15.3,63
2006-05-03T18:00,13.9,72
2006-05-03T19:00,12.0,82
2006-05-03T20:00,10.9,86
2006-05-03T21:00,10.6,85
2006-05-03T22:00,10.4,86
2006-05-03T23:00,10.1,87
2006-05-04T00:00,10.0,87
2006-05-04T01:00,9.7,90
2006-05-04T02:00,9.0,93
2006-05-04T03:00,8.4,95
2006-05-04T04:00,7.9,96
2006-05-04T05:00,8.8,96
2006-05-04T06:00,10.7,88
2006-05-04T07:00,12.0,81
2006-05-04T08:00,13.2,70
2006-05-04T09:00,14.3,60
2006-05-04T10:00,15.0,55
2006-05-04T11:00,15.8,50
2006-05-04T12:00,15.6,50
2006-05-04T13:00,16.2,48
2006-05-04T14:00,16.0,48
2006-05-04T15:00,15.7,49
2006-05-04T16:00,15.3,50
2006-05-04T17:00,14.5,55
2006-05-04T18:00,13.3,59
2006-05-04T19:00,11.7,66
2006-05-04T20:00,10.4,73
2006-05-04T21:00,9.6,74
2006-05-04T22:00,9.3,74
2006-05-04T23:00,9.0,73
2006-05-05T00:00,8.2,76
2006-05-05T01:00,7.4,79
2006-05-05T02:00,6.5,81
2006-05-05T03:00,5.9,83
2006-05-05T04:00,5.2,86
2006-05-05T05:00,6.1,86
2006-05-05T06:00,10.0,79
2006-05-05T07:00,12.6,68
2006-05-05T08:00,14.1,61
2006-05-05T09:00,15.1,54
2006-05-05T10:00,15.9,49
2006-05-05T11:00,16.1,47
2006-05-05T12:00,16.5,45
2006-05-05T13:00,17.0,43
2006-05-05T14:00,16.9,42
2006-05-05T15:00,16.6,43
2006-05-05T16:00,16.2,45
2006-05-05T17:00,15.4,54
2006-05-05T18:00,13.9,65
2006-05-05T19:00,13.4,55
2006-05-05T20:00,11.8,60
2006-05-05T21:00,9.7,67
2006-05-05T22:00,7.8,74
2006-05-05T23:00,6.7,78
2006-05-06T00:00,5.8,82
2006-05-06T01:00,5.2,84
2006-05-06T02:00,4.7,85
2006-05-06T03:00,4.4,86
2006-05-06T04:00,4.0,86
2006-05-06T05:00,5.5,86
2006-05-06T06:00,10.5,74
2006-05-06T07:00,14.4,65
2006-05-06T08:00,16.4,44
2006-05-06T09:00,17.4,38
2006-05-06T10:00,17.8,36
2006-05-06T11:00,18.4,36
2006-05-06T12:00,18.4,38
2006-05-06T13:00,17.1,42
2006-05-06T14:00,16.8,44
2006-05-06T15:00,16.8,45
2006-05-06T16:00,16.2,48
2006-05-06T17:00,15.3,56
2006-05-06T18:00,13.8,72
2006-05-06T19:00,12.3,66
2006-05-06T20:00,11.8,67
2006-05-06T21:00,11.9,65
2006-05-06T22:00,11.2,70
2006-05-06T23:00,10.6,74
2006-05-07T00:00,10.1,78
2006-05-07T01:00,9.3,82
2006-05-07T02:00,8.2,87
2006-05-07T03:00,6.8,90
2006-05-07T04:00,6.1,91
2006-05-07T05:00,7.6,91
2006-05-07T06:00,10.9,83
2006-05-07T07:00,12.8,71
2006-05-07T08:00,13.6,65
2006-05-07T09:00,14.0,64
2006-05-07T10:00,14.3,67
2006-05-07T11:00,15.3,65
2006-05-07T12:00,15.5,66
2006-05-07T13:00,15.8,65
2006-05-07T14:00,15.6,65
2006-05-07T15:00,15.7,63
2006-05-07T16:00,15.2,62
2006-05-07T17:00,14.4,66
2006-05-07T18:00,13.3,73
2006-05-07T19:00,11.4,83
2006-05-07T20:00,9.7,89
2006-05-07T21:00,8.3,92
2006-05-07T22:00,7.5,93
2006-05-07T23:00,6.7,94
2006-05-08T00:00,6.1,94
2006-05-08T01:00,5.7,93
2006-05-08T02:00,5.2,93
2006-05-08T03:00,4.5,94
2006-05-08T04:00,4.2,93
2006-05-08T05:00,5.8,92
2006-05-08T06:00,10.1,84
2006-05-08T07:00,13.5,75
2006-05-08T08:00,15.3,61
2006-05-08T09:00,16.1,55
2006-05-08T10:00,16.7,53
2006-05-08T11:00,16.8,54
2006-05-08T12:00,17.4,55
2006-05-08T13:00,16.7,58
2006-05-08T14:00,15.6,61
2006-05-08T15:00,15.2,64
2006-05-08T16:00,15.2,65
2006-05-08T17:00,14.6,70
2006-05-08T18:00,13.7,76
2006-05-08T19:00,12.1,81
2006-05-08T20:00,10.5,85
2006-05-08T21:00,9.4,87
2006-05-08T22:00,9.0,88
2006-05-08T23:00,8.4,88
2006-05-09T00:00,7.5,90
2006-05-09T01:00,6.9,91
2006-05-09T02:00,6.6,91
2006-05-09T03:00,6.4,91
2006-05-09T04:00,6.3,92
2006-05-09T05:00,8.0,91
2006-05-09T06:00,11.1,83
2006-05-09T07:00,12.7,80
2006-05-09T08:00,13.7,77
2006-05-09T09:00,14.7,75
2006-05-09T10:00,15.6,73
2006-05-09T11:00,16.1,72
2006-05-09T12:00,15.6,74
2006-05-09T13:00,14.8,76
2006-05-09T14:00,13.7,82
2006-05-09T15:00,13.8,78
2006-05-09T16:00,13.5,81
2006-05-09T17:00,13.2,84
2006-05-09T18:00,12.5,84
2006-05-09T19:00,12.5,84
2006-05-09T20:00,10.6,89
2006-05-09T21:00,9.3,92
2006-05-09T22:00,8.5,92
2006-05-09T23:00,8.0,92
2006-05-10T00:00,8.0,91
2006-05-10T01:00,8.1,92
2006-05-10T02:00,7.9,92
2006-05-10T03:00,8.1,92
2006-05-10T04:00,8.3,91
2006-05-10T05:00,9.2,89
2006-05-10T06:00,10.8,84
2006-05-10T07:00,13.3,72
