time,temperature_2m,relative_humidity_2m
2006-04-25T00:00,10.8,76
2006-04-25T01:00,9.2,81
2006-04-25T02:00,8.1,85
2006-04-25T03:00,7,90
2006-04-25T04:00,6.3,93
2006-04-25T05:00,6.7,93
2006-04-25T06:00,10.8,84
2006-04-25T07:00,14.7,73
2006-04-25T08:00,16.8,62
2006-04-25T09:00,18.3,56
2006-04-25T10:00,19.4,50
2006-04-25T11:00,20.1,45
2006-04-25T12:00,20.9,39
2006-04-25T13:00,21.4,37
2006-04-25T14:00,21.4,36
2006-04-25T15:00,21.4,36
2006-04-25T16:00,21,41
2006-04-25T17:00,19.5,51
2006-04-25T18:00,17.4,61
2006-04-25T19:00,15.7,65
2006-04-25T20:00,14.6,65
2006-04-25T21:00,13,70
2006-04-25T22:00,11.6,74
2006-04-25T23:00,10.4,78
2006-04-26T00:00,9.2,83
2006-04-26T01:00,8.4,86
2006-04-26T02:00,8.1,87
2006-04-26T03:00,7.8,88
2006-04-26T04:00,7.6,88
2006-04-26T05:00,8.3,88
2006-04-26T06:00,11.3,82
2006-04-26T07:00,15.2,73
2006-04-26T08:00,17.4,61
2006-04-26T09:00,18.8,54
2006-04-26T10:00,19.9,50
2006-04-26T11:00,20.1,50
2006-04-26T12:00,20.5,46
2006-04-26T13:00,20.7,45
2006-04-26T14:00,20.4,44
2006-04-26T15:00,20.2,44
2006-04-26T16:00,19.7,47
2006-04-26T17:00,19.4,44
2006-04-26T18:00,18.7,47
2006-04-26T19:00,15.6,69
2006-04-26T20:00,14.3,72
2006-04-26T21:00,12.5,80
2006-04-26T22:00,11.2,85
2006-04-26T23:00,10.3,87
2006-04-27T00:00,9.1,91
2006-04-27T01:00,8.9,93
2006-04-27T02:00,8.8,92
2006-04-27T03:00,9,91
2006-04-27T04:00,8.9,91
2006-04-27T05:00,9.8,90
2006-04-27T06:00,11.7,87
2006-04-27T07:00,13.7,80
2006-04-27T08:00,14.8,73
2006-04-27T09:00,15.6,70
2006-04-27T10:00,16.1,71
2006-04-27T11:00,15.1,80
2006-04-27T12:00,15.5,79
2006-04-27T13:00,15.6,79
2006-04-27T14:00,15.7,79
2006-04-27T15:00,15.9,78
2006-04-27T16:00,15.1,83
2006-04-27T17:00,14,89
2006-04-27T18:00,13.2,92
2006-04-27T19:00,12.4,89
2006-04-27T20:00,11.9,90
2006-04-27T21:00,11.4,90
2006-04-27T22:00,10.7,93
2006-04-27T23:00,10.4,94
2006-04-28T00:00,10.2,93
2006-04-28T01:00,10,95
2006-04-28T02:00,10,95
2006-04-28T03:00,10,94
2006-04-28T04:00,9.9,94
2006-04-28T05:00,10.2,94
2006-04-28T06:00,11.1,93
2006-04-28T07:00,11.3,91
2006-04-28T08:00,11.8,91
2006-04-28T09:00,13.4,84
2006-04-28T10:00,13.4,83
2006-04-28T11:00,13.6,83
2006-04-28T12:00,14.3,81
2006-04-28T13:00,14.5,80
2006-04-28T14:00,14.9,77
2006-04-28T15:00,14.2,79
2006-04-28T16:00,13.7,82
2006-04-28T17:00,13,87
2006-04-28T18:00,12.3,89
2006-04-28T19:00,11.6,91
2006-04-28T20:00,11.2,92
2006-04-28T21:00,10.8,94
2006-04-28T22:00,10.6,94
2006-04-28T23:00,10.5,94
2006-04-29T00:00,10.5,93
2006-04-29T01:00,9.6,96
2006-04-29T02:00,9.4,96
2006-04-29T03:00,9.2,96
2006-04-29T04:00,9.5,94
2006-04-29T05:00,9.8,92
2006-04-29T06:00,9.8,88
2006-04-29T07:00,10.4,90
2006-04-29T08:00,10.5,88
2006-04-29T09:00,11.1,81
2006-04-29T10:00,11.4,81
2006-04-29T11:00,11.4,82
2006-04-29T12:00,11.1,82
2006-04-29T13:00,11.1,80
2006-04-29T14:00,11,78
2006-04-29T15:00,10.9,80
2006-04-29T16:00,10.7,80
2006-04-29T17:00,10.3,82
2006-04-29T18:00,9.8,87
2006-04-29T19:00,8.8,86
2006-04-29T20:00,8.3,87
2006-04-29T21:00,7.7,86
2006-04-29T22:00,7.2,84
2006-04-29T23:00,6.5,83
2006-04-30T00:00,5.9,79
2006-04-30T01:00,5.5,82
2006-04-30T02:00,4.9,85
2006-04-30T03:00,4.4,86
2006-04-30T04:00,4.2,86
2006-04-30T05:00,4.3,85
2006-04-30T06:00,4.6,85
2006-04-30T07:00,5,82
2006-04-30T08:00,5.3,80
2006-04-30T09:00,6.2,72
2006-04-30T10:00,6.5,71
2006-04-30T11:00,6.7,73
2006-04-30T12:00,6.6,76
2006-04-30T13:00,6.5,80
2006-04-30T14:00,6.3,83
2006-04-30T15:00,6.3,83
2006-04-30T16:00,6.2,86
2006-04-30T17:00,6.1,86
2006-04-30T18:00,5.8,89
2006-04-30T19:00,5.7,87
2006-04-30T20:00,5.7,85
2006-04-30T21:00,5.4,86
2006-04-30T22:00,5.3,87
2006-04-30T23:00,5.3,87
2006-05-01T00:00,4.8,91
2006-05-01T01:00,4.7,91
2006-05-01T02:00,5,90
2006-05-01T03:00,4.9,89
2006-05-01T04:00,4.7,90
2006-05-01T05:00,5.2,91
2006-05-01T06:00,6.1,89
2006-05-01T07:00,7.9,82
2006-05-01T08:00,9.4,75
2006-05-01T09:00,10.9,66
2006-05-01T10:00,12.4,57
2006-05-01T11:00,13.2,54
2006-05-01T12:00,13.4,54
2006-05-01T13:00,13.2,56
2006-05-01T14:00,13.3,56
2006-05-01T15:00,12.9,58
2006-05-01T16:00,12.5,61
2006-05-01T17:00,11.8,66
2006-05-01T18:00,10.8,70
2006-05-01T19:00,9.6,76
2006-05-01T20:00,8.2,85
2006-05-01T21:00,7.8,84
